model,gpu,framework,precision,gpu_count,isl,osl,concurrency,rows,output_p50_tok_s_mw,output_p10_tok_s_mw,output_p90_tok_s_mw,input_p50_tok_s_mw,total_p50_tok_s_mw,median_tpot_ms,median_ttft_ms,power_w_p50,kv_pressure_proxy_isl_x_concurrency,decode_work_proxy_osl_x_concurrency,baseline_1024_1024_output_p50_tok_s_mw,realization_vs_same_config_1024_1024
dsr1,b200,trt,fp4,4,1024,1024,64,15,331569.307104,312197.504281,333391.898556,331892.289871,663288.111269,0.021384,0.112117,2170.0,65536.0,65536.0,331569.307104,1.0
dsr1,b200,trt,fp4,4,1024,8192,64,13,321231.867608,320252.653121,321961.494177,40108.533857,361340.576229,0.022461,0.113669,2170.0,65536.0,524288.0,331569.307104,0.968823
dsr1,b200,trt,fp4,4,8192,1024,64,13,205196.367247,202908.561072,206219.563415,1645096.843235,1849594.495829,0.033353,1.72359,2170.0,524288.0,65536.0,331569.307104,0.618864
dsr1,b200,trt,fp4,4,1024,1024,8,57,87119.834839,86321.590106,88449.570257,86719.508497,173596.169566,0.010295,0.100447,2170.0,8192.0,8192.0,87119.834839,1.0
dsr1,b200,trt,fp4,4,1024,8192,8,52,87377.480133,87123.190239,87832.851688,10952.755707,98328.907749,0.010278,0.103913,2170.0,8192.0,65536.0,87119.834839,1.002957
dsr1,b200,trt,fp4,4,8192,1024,8,16,75103.632602,74823.778033,91849.850347,592941.81878,668081.535347,0.011767,0.251822,2170.0,65536.0,8192.0,87119.834839,0.862073
dsr1,b200,trt,fp4,64,1024,1024,128,40,280707.246911,253488.620756,283384.235306,271811.90503,562031.162497,0.025194,0.191745,2170.0,131072.0,131072.0,280707.246911,1.0
dsr1,b200,trt,fp4,64,1024,8192,128,39,312034.25419,307552.060321,312780.368693,39056.192588,351090.446778,0.0232,0.101172,2170.0,131072.0,1048576.0,280707.246911,1.1116
dsr1,b200,trt,fp4,64,8192,1024,128,39,204281.471189,202994.206681,205379.612778,1639988.370154,1844269.841343,0.032763,2.375992,2170.0,1048576.0,131072.0,280707.246911,0.727739
dsr1,b200,trt,fp4,64,1024,1024,16,39,73155.968947,72319.790206,74879.448721,73786.812952,147090.708027,0.012245,0.102048,2170.0,16384.0,16384.0,73155.968947,1.0
dsr1,b200,trt,fp4,64,1024,1024,256,39,488311.060401,485658.152824,491931.626246,487867.172829,976150.169746,0.027662,1.202777,2170.0,262144.0,262144.0,488311.060401,1.0
dsr1,b200,trt,fp4,64,1024,8192,256,40,530001.143862,528498.187934,532820.12982,66171.413564,596172.557426,0.026626,1.485749,2170.0,262144.0,2097152.0,488311.060401,1.085376
dsr1,b200,trt,fp4,64,8192,1024,256,40,295190.674548,293649.423916,297044.847136,2360304.087749,2655952.224385,0.045968,2.866307,2170.0,2097152.0,262144.0,488311.060401,0.604514
dsr1,b200,trt,fp4,64,1024,1024,32,41,125914.084161,120373.342917,126807.14951,125562.180039,251429.869146,0.014129,0.08851,2170.0,32768.0,32768.0,125914.084161,1.0
dsr1,b200,trt,fp4,64,1024,8192,32,38,130684.825844,129879.097994,131333.365961,16223.921385,146910.683462,0.013777,0.089743,2170.0,32768.0,262144.0,125914.084161,1.037889
dsr1,b200,trt,fp4,64,1024,1024,64,41,196443.03038,182223.848992,197556.934677,196531.602076,392974.632456,0.018055,0.107065,2170.0,65536.0,65536.0,196443.03038,1.0
dsr1,b200,trt,fp4,64,1024,8192,64,41,209549.066711,207644.039189,211349.215843,26164.099226,235713.165937,0.017187,0.109457,2170.0,65536.0,524288.0,196443.03038,1.066717
dsr1,b200,trt,fp4,64,8192,1024,64,39,127972.1456,127148.958101,128723.563541,1024580.811086,1153512.507544,0.026118,1.725508,2170.0,524288.0,65536.0,196443.03038,0.651447
dsr1,b200,trt,fp4,8,1024,1024,128,16,272246.53721,253490.149396,282576.717459,282129.424632,545091.156276,0.026041,0.17881,2170.0,131072.0,131072.0,272246.53721,1.0
dsr1,b200,trt,fp4,8,1024,8192,128,13,311999.755726,308426.723901,312603.674304,39065.964476,351051.630266,0.023207,0.100058,2170.0,131072.0,1048576.0,272246.53721,1.146019
dsr1,b200,trt,fp4,8,8192,1024,128,15,204028.810277,203126.378609,205542.546201,1637959.987672,1841988.797949,0.032841,2.334767,2170.0,1048576.0,131072.0,272246.53721,0.749427
dsr1,b200,trt,fp4,8,1024,1024,16,15,74557.142207,72552.867748,74951.861405,75421.111733,149907.970511,0.012015,0.086231,2170.0,16384.0,16384.0,74557.142207,1.0
dsr1,b200,trt,fp4,8,1024,8192,16,51,77912.252021,77545.264036,78133.903633,9774.865237,87687.154908,0.011561,0.088743,2170.0,16384.0,131072.0,74557.142207,1.045001
dsr1,b200,trt,fp4,8,8192,1024,16,52,62149.88619,61690.280902,62320.471081,498737.280742,560887.166932,0.014165,0.222522,2170.0,131072.0,16384.0,74557.142207,0.833587
