group,year,n_assets,observations,avg_pair_corr,median_pair_corr,max_pair_corr,min_pair_corr,pc1_share,strong_pair_share,avg_pair_corr_yoy_change,pc1_share_yoy_change
AI Platforms,2026,9,6,0.7033040819796054,0.7482959761742567,0.9527669152300149,0.12724872237918655,0.7452219807241531,0.6388888888888888,0.29678934093850845,0.25252441351413657
AI Chip,2026,5,6,0.7031509932461161,0.6457077931176178,0.9807314546928241,0.5650021636542426,0.767403725029286,0.4,0.3577334118437898,0.2660113585709075
HW equipment,2026,14,6,0.6973548538750537,0.7166925608998254,0.9951901803550947,0.1476350458189224,0.726603386948358,0.6813186813186813,0.0044562797275047306,0.003077098748599405
OSAT / packiging,2026,6,6,0.625906371902476,0.5959765737934579,0.8984866501909516,0.1367114495509835,0.6969319908827633,0.4666666666666667,0.16015176230733075,0.1382039141658047
components,2026,14,6,0.6169011807137014,0.6961991559202008,0.978672620464806,-0.24725473084398458,0.6567974001140987,0.5494505494505495,0.20932250396866464,0.169256000462099
Server OEM/EMS/ODM,2026,21,6,0.5931679175836652,0.6575241539656111,0.9636257707529401,-0.31002328290954034,0.6354916321575427,0.5095238095238095,0.20983481594334885,0.18690901172129487
Server Networking,2026,14,6,0.5314247465339514,0.5933144560641432,0.9574018124749765,-0.5113808013365697,0.5898307599548724,0.4065934065934066,0.09687404654380821,0.07213327989596163
Energy,2026,18,6,0.5126733127060275,0.5863369998143659,0.9692290089792039,-0.30388999027727875,0.5818603770459555,0.4117647058823529,0.25709347173927705,0.1763213207325443
Neocloud,2026,2,6,0.5052133139135414,0.5052133139135414,0.5052133139135414,0.5052133139135414,0.7526066569567708,0.0,-0.3826300537885303,-0.19131502689426505
meterier,2026,8,6,0.48738143398836925,0.47832017884612227,0.9249176590315729,-0.06433610780117975,0.569253277710678,0.35714285714285715,0.3795422555750451,0.23972537737358784
Hyperscalers,2026,6,6,0.32553674084817735,0.35189003984077716,0.919992421853047,-0.45240975616554946,0.5337947904270454,0.26666666666666666,0.1420275537344462,0.0904003082001642
CPU,2026,2,6,0.3024254433647567,0.3024254433647567,0.3024254433647567,0.3024254433647567,0.6512127216823783,0.0,0.09690208101806838,0.04845104050903415
